1382	8 (A B C D E F G H)
Carex_ericetorum	00010000
Carex_erythrorrhiza	00100000
Carex_erythrovaginata	00000100
Carex_esenbeckii	00010000
Carex_exilis	00000010
Carex_extensa	00010000
Carex_fedia	00010100
Carex_ferruginea	00010000
Carex_festucacea	00000010
Carex_feta	00000010
Carex_filicina	00011100
Carex_filifolia	00000010
Carex_filipes	00010000
Carex_fimbriata	00010000
Carex_firma	00010000
Carex_fischeri	00100000
Carex_fissirostris	00010000
Carex_flacca	00011000
Carex_flaccosperma	00000010
Carex_flava	00010010
Carex_foenea	00000010
Carex_foetida	00010000
Carex_folliculata	00000010
Carex_formosa	00000010
Carex_forsteri	00000100
Carex_fracta	00000010
Carex_frankii	00000010
Carex_frigida	00010000
Carex_fritschii	00010000
Carex_fuliginosa	00010010
Carex_furva	00010000
Carex_fuscula	00000001
Carex_garberi	00000010
Carex_gholsonii	00000010
Carex_gibba	00010000
Carex_gifuensis	00010000
Carex_glacialis	00010010
Carex_glareosa	00010010
Carex_glaucodea	00000010
Carex_gmelinii	00010010
Carex_godfreyi	00000010
Carex_gongshanensis	00010000
Carex_gracilior	00000010
Carex_gracillima	00000010
Carex_graminifolia	10000000
Carex_grandiligulata	00010000
Carex_granularis	00000010
Carex_gravida	00000010
Carex_grayi	00000010
Carex_greenwayi	00100000
Carex_grioletii	00010000
Carex_grisea	00000010
Carex_gynandra	00000010
Carex_gynocrates	00010010
Carex_gynodynama	00000010
Carex_halleriana	00010000
Carex_hallii	00000010
Carex_harfordii	00000010
Carex_hartmanii	00010000
Carex_haydeniana	00000010
Carex_haydenii	00000010
Carex_healyi	00000100
Carex_heleonastes	00010010
Carex_helodes	00010000
Carex_heterodoxa	10000000
Carex_hirsutella	00000010
Carex_hirta	00010000
Carex_hirtifolia	00000010
Carex_hirtigluma	10000000
Carex_hirtissima	00000010
Carex_hispida	00010000
Carex_hitchcockiana	00000010
Carex_hochstetteriana	00010000
Carex_holostoma	00010010
Carex_hoodii	00000010
Carex_hookeriana	00000010
Carex_hordeistichos	00010000
Carex_horizontalis	00000100
Carex_hormathodes	00000010
Carex_hostiana	00010010
Carex_houghtoniana	00000010
Carex_humbertii	10000000
Carex_humilis_var_nana	00010000
Carex_hyalina	00000010
Carex_hystericina	00000011
Carex_idaea	00010000
Carex_illota	00000010
Carex_imbecilla	00000100
Carex_impressinervia	00000010
Carex_inanis	00010000
Carex_infirminervia	00000010
Carex_infuscata	00011000
Carex_inops	00000010
Carex_integra	00000010
Carex_interior	00000010
Carex_interrupta	00000010
Carex_intumescens	00000010
Carex_ischnostachya	00010000
Carex_jamesii	00000010
Carex_johnstonii	00100000
Carex_killickii	01000000
Carex_kirkii	00000100
Carex_kitaibeliana	00010000
Carex_kobomugi	00010000
Carex_krausei	00000010
Carex_kukkoneniana	01000000
Carex_lachenalii	00010110
Carex_lacustris	00000010
Carex_laeviconica	00000010
Carex_laeviculmis	00000010
Carex_laevigata	00010000
Carex_laevivaginata	00000010
Carex_lainzii	00010000
Carex_lancea	01000000
Carex_lapponica	00000010
Carex_lasiocarpa	00010010
Carex_latebracteata	00000010
Carex_laxa	00010010
Carex_laxiculmis	00000010
Carex_laxiflora	00000010
Carex_leavenworthii	00000010
Carex_ledebouriana	00010000
Carex_leersii	00010000
Carex_leiorhyncha	00010000
Carex_lenticularis	00000010
Carex_lepidocarpa	00010010
Carex_lepidocarpa_subsp_nevadensis	00010000
Carex_leporina	00010010
Carex_leporinella	00000010
Carex_leptalea	00000011
Carex_leptonervia	00000010
Carex_leptopoda	00000010
Carex_leptosaccus	00100000
Carex_limosa	00000011
Carex_lingii	00010000
Carex_liparocarpos	00010000
Carex_livida	00010011
