1382	8 (A B C D E F G H)
Eleocharis_quadrangulata	00000010
Eleocharis_quinqueflora	00011011
Eleocharis_retroflexa	01111111
Eleocharis_robbinsii	00000010
Eleocharis_rostellata	00000011
Eleocharis_setifolia	10100111
Eleocharis_spiralis	10011100
Eleocharis_tenuis	00000010
Eleocharis_tetraquetra	00011100
Eleocharis_torticulmis	00000010
Eleocharis_trilateralis	00010000
Eleocharis_tuberculosa	00000010
Eleocharis_uniglumis	00011010
Eleocharis_valleculosa	00010000
Eleocharis_vivipara	00000010
Eleocharis_wichurae	00010000
Eleocharis_wolfii	00000010
Eriophorum_angustifolium	00010010
Eriophorum_brachyantherum	00010010
Eriophorum_callitrix	00010010
Eriophorum_chamissonis	00010010
Eriophorum_vaginatum	00010010
Eriophorum_virginicum	00000010
Erioscirpus_comosus	00011100
Evandra_aristata	00000100
Ficinia_distans	01000000
Ficinia_gracilis	01100000
Ficinia_gydomontana	01000000
Ficinia_indica	01000000
Ficinia_laciniata	01000000
Ficinia_nodosa	01000101
Ficinia_paradoxa	01000000
Ficinia_polystachya	01000000
Ficinia_radiata	01000000
Ficinia_ramossisima	01000000
Ficinia_repens	01000000
Ficinia_spiralis	00000100
Ficinia_trichodes	01000000
Ficinia_tristachya	01000000
Fimbristylis_acuminata	00011100
Fimbristylis_aestivalis	00011100
Fimbristylis_autumnalis	00000011
Fimbristylis_bisumbellata	11111100
Fimbristylis_caroliniana	00000011
Fimbristylis_complanata	11111111
Fimbristylis_cymosa	11111111
Fimbristylis_dichotoma	11111111
Fimbristylis_diphylloides	00010000
Fimbristylis_ferruginea	11111101
Fimbristylis_littoralis	10111111
Fimbristylis_miliacea	10111100
Fimbristylis_ovata	11111111
Fimbristylis_polytrichoides	10111100
Fimbristylis_puberula	00000010
Fimbristylis_quinquangularis	10111100
Fimbristylis_schoenoides	00111100
Fimbristylis_sieboldii	00010000
Fimbristylis_spadicea	00000011
Fimbristylis_squarrosa	00011100
Fimbristylis_tetragona	00011100
Fimbristylis_thermalis	00000010
Fimbristylis_tristachya	00011100
Fimbristylis_variegata	01000000
Fimbristylis_velata	00010100
Fuirena_abnormalis	00100000
Fuirena_breviseta	00000011
Fuirena_ciliaris	01111100
Fuirena_coerulescens	11100000
Fuirena_pubescens	11111000
Fuirena_pumila	00000010
Fuirena_scirpoidea	00000011
Fuirena_simplex	00000011
Fuirena_stricta	11100000
Fuirena_umbellata	11111111
Fuirena_welwitschii	00100000
Gahnia_aspera	00000100
Gahnia_baniensis	00010100
Gahnia_deusta	00000100
Gahnia_melanocarpa	00000100
Gahnia_trifida	00000100
Gahnia_tristis	00000100
Gymnoschoenus_sphaerocephalus	00000100
Hellmuthia_membranacea	01000000
Hypolytrum_longifolium	00000001
Hypolytrum_nemorum	00011100
Isolepis_aucklandica	00000101
Isolepis_carinata	00000010
Isolepis_cernua	01110111
Isolepis_costata	11100000
Isolepis_crassiuscula	00010100
Isolepis_diabolica	01000000
Isolepis_digitata	01000000
Isolepis_fluitans	11111100
Isolepis_graminoides	00100000
Isolepis_hystrix	01000000
Isolepis_keniaensis	00100000
Isolepis_marginata	01000100
Isolepis_montivaga	00000100
Isolepis_prolifera	01000100
Isolepis_sepulcralis	11100000
Isolepis_setacea	01111100
Isolepis_sulcata	01000000
Isolepis_varians	00000001
Juncus_acutus	00010011
Juncus_capitatus	01110000
Juncus_effusus	11111111
Juncus_trifidus	00010010
Khaosokia_caricoides	00000100
Lagenocarpus_albo-niger	00000001
Lagenocarpus_guianensis	00000001
Lepidosperma_longitudinale	00000100
Lepidosperma_tortuosum	00000100
Lepironia_articulata	10011100
Machaerina_articulata	00000100
Machaerina_glomerata	00000100
Machaerina_iridifolia	10000000
Machaerina_mariscoides	00000100
Machaerina_rubiginosa	00011100
Machaerina_scirpoidea	00000001
Machaerina_sinclairii	00000100
Mapania_assimilis	00000001
Mapania_cuspidata	00001100
Mapania_meditensis	00000100
Mapania_pycnocephala	00000001
Mesomelaena_pseudostygia	00000100
Mesomelaena_tetragona	00000100
Microdracoides_squamosa	00100000
Morelotia_affinis	00000100
Morelotia_gahniiformis	00000010
Neesenbeckia_punctoria	00100000
Oreobolopsis_clementis	00000010
Oreobolopsis_inversa	00000001
Oreobolopsis_tepalifera	00000001
Oreobolus_acutifolius	00000100
Oreobolus_goeppingeri	00000001
Oreobolus_kuekenthalii	00000100
Oreobolus_obtusangulus	00000001
Oreobolus_pectinatus	00000100
Oreobolus_pumilio	00000100
Paramapania_parvibractea	00000100
Phylloscirpus_acaulis	00000001
Phylloscirpus_deserticola	00000001
Pleurostachys_stricta	00000001
Ptilothrix_deusta	00000100
Rhynchospora_alba	00010011
Rhynchospora_albiceps	00000001
Rhynchospora_aristata	00000011
Rhynchospora_brownii	11111100
Rhynchospora_caduca	00000010
Rhynchospora_capillacea	00000010
Rhynchospora_capitellata	00000010
Rhynchospora_cephalantha	00000010
Rhynchospora_chalarocephala	00000010
Rhynchospora_chapmanii	00000010
Rhynchospora_chinensis	10011100
Rhynchospora_ciliaris	00000010
Rhynchospora_colorata	00000011
Rhynchospora_corniculata	00000011
Rhynchospora_corymbosa	11111111
Rhynchospora_crinipes	00000010
Rhynchospora_decurrens	00000010
Rhynchospora_divergens	00000011
Rhynchospora_elliottii	00000011
Rhynchospora_fascicularis	00000011
Rhynchospora_filifolia	00000011
Rhynchospora_floridensis	00000011
Rhynchospora_fusca	00010010
Rhynchospora_globosa	00000001
Rhynchospora_globularis	00000011
Rhynchospora_glomerata	00000010
Rhynchospora_gracilenta	00000011
Rhynchospora_gracillima	11111100
Rhynchospora_grayi	00000011
Rhynchospora_holoschoenoides	11100011
Rhynchospora_inexpansa	00000010
Rhynchospora_inundata	00000010
Rhynchospora_latifolia	00000010
Rhynchospora_macra	00000011
Rhynchospora_marisculus	00000001
Rhynchospora_megalocarpa	00000010
Rhynchospora_megaplumosa	00000010
Rhynchospora_microcarpa	00000011
Rhynchospora_miliacea	00000011
Rhynchospora_mixta	00000010
Rhynchospora_nervosa	00000011
Rhynchospora_nitens	00000011
Rhynchospora_plumosa	00000011
Rhynchospora_polyphylla	00000001
Rhynchospora_pusilla	00000001
Rhynchospora_rariflora	00000011
Rhynchospora_robusta	00000011
Rhynchospora_rubra	11111100
Rhynchospora_rugosa	11111111
Rhynchospora_scirpoides	00000011
Rhynchospora_tracyi	00000011
Schoenoplectiella_articulata	11111100
Schoenoplectiella_erecta	11111111
Schoenoplectiella_hallii	00000010
Schoenoplectiella_hotarui	00010100
Schoenoplectiella_juncea	00100000
Schoenoplectiella_juncoides	10011110
Schoenoplectiella_lineolata	00010000
Schoenoplectiella_mucronata	10111100
Schoenoplectiella_purshiana	00000010
Schoenoplectiella_saximontana	00000010
Schoenoplectiella_senegalensis	01101000
Schoenoplectiella_smithii	00000010
Schoenoplectiella_supina	00111100
Schoenoplectiella_wallichii	00011100
Schoenoplectus_acutus	00000010
Schoenoplectus_americanus	00000111
Schoenoplectus_californicus	00000011
Schoenoplectus_corymbosus	11111000
Schoenoplectus_deltarum	00000010
Schoenoplectus_etuberculatus	00000010
Schoenoplectus_heterochaetus	00000010
Schoenoplectus_lacustris	01111000
Schoenoplectus_litoralis	10111000
Schoenoplectus_pungens	00010111
Schoenoplectus_subterminalis	00000010
Schoenoplectus_tabernaemontani	00011111
Schoenoplectus_torreyi	00000010
Schoenoplectus_triqueter	00011000
Schoenus_apogon	00010100
Schoenus_bolusii	01000000
Schoenus_brevifolius	00010100
Schoenus_compactus	01000000
Schoenus_compar	01000000
Schoenus_crassus	01000000
Schoenus_curvifolius	00000100
Schoenus_cuspidatus	01100000
Schoenus_efoliatus	00000100
Schoenus_exilis	01000000
Schoenus_laticulmis	01000000
Schoenus_neovillosus	01000000
Schoenus_nigricans	00011011
Schoenus_pennisetis	00000100
Schoenus_pictus	01000000
Schoenus_quadrangularis	01000000
Schoenus_variabilis	01000000
Scirpodendron_bogneri	00000100
Scirpodendron_ghaeri	00001100
Scirpoides_burkei	01000000
Scirpoides_holoschoenus	01111000
Scirpus_atrovirens	00000010
Scirpus_cyperinus	00000010
Scirpus_divaricatus	00000010
Scirpus_lineatus	00000010
Scirpus_pendulus	00000010
Scleria_abortiva	10000000
Scleria_angusta	11000000
Scleria_angustifolia	00100000
Scleria_ankaratrensis	10000000
Scleria_arguta	10000000
Scleria_balansae	00000100
Scleria_baldwinii	00000011
Scleria_bambariensis	00100000
Scleria_baroniclarkei	00100000
Scleria_baronii	10000000
Scleria_bequaertii	00100000
Scleria_biflora	00011100
Scleria_boivinii	10100000
Scleria_bourgeaui	00000011
Scleria_bracteata	00000011
Scleria_brownii	00000100
Scleria_bulbifera	11110000
Scleria_burchellii	00000001
Scleria_calcicola	00100000
Scleria_carphiformisb	00000100
Scleria_castanea	00000001
Scleria_catophylla	01100000
Scleria_ciliaris	00010100
Scleria_ciliata	00000011
Scleria_comosa	00000001
Scleria_comosab	00000001
Scleria_composita	00000001
Scleria_corymbosa	00011100
Scleria_cuyabensis	00000001
Scleria_cyperina	00000001
Scleria_delicatula	00100000
Scleria_depauperata	00000100
Scleria_depressa	00100000
Scleria_distans	01100011
Scleria_distans_var_chondrocarpa	10100000
Scleria_dregeana	01100000
Scleria_eggersiana	00000001
Scleria_erythrorrhiza	00100000
Scleria_flagellumnigrorum	00000001
Scleria_flexuosa	01100000
Scleria_foliosa	11100000
Scleria_fulvipilosa	00100000
Scleria_gaertneri	10100001
Scleria_georgiana	00000011
Scleria_glabra	00100000
Scleria_globonux	00100000
Scleria_goossensii	00100000
Scleria_greigiifolia	11100000
Scleria_hildebrandtii	10100000
Scleria_hilsenbergii	10000000
Scleria_hirtella	00000011
Scleria_hispidior	00100000
Scleria_hispidula	00100000
Scleria_interrupta	00000001
Scleria_iostephana	00100000
Scleria_kerrii	00000100
Scleria_lacustris	11100001
Scleria_lagoensis	11100001
Scleria_latifolia	00000001
Scleria_laxa	00011100
Scleria_laxiflora	00100000
Scleria_leptostachya	00000001
Scleria_liberica	00100000
Scleria_lithosperma	10111111
Scleria_longispiculata	01100000
Scleria_mackaviensis	00000100
Scleria_macrogyne	00000001
Scleria_macrophylla	00000011
Scleria_madagascariensis	10000000
Scleria_maypurensis	00000001
Scleria_melanomphala	11100001
Scleria_melanotricha	00100000
Scleria_microcarpa	00000001
Scleria_mitis	00000001
Scleria_mongomoensis	00100000
Scleria_muehlenbergii	00000011
Scleria_naumanniana	00100000
Scleria_neesii	00011100
Scleria_nyasensis	00100000
Scleria_oblata	00011100
Scleria_obtusa	00000001
Scleria_oligantha	00000011
Scleria_panicoides	00000001
Scleria_pantadenia	00100000
Scleria_parvula	00111100
Scleria_paupercula	00100000
Scleria_pedicellata	00100000
Scleria_pergracilis	01111100
Scleria_pergracilis_var_brachystachys	00100000
Scleria_perpusilla	10000000
Scleria_plusiophylla	00000001
Scleria_poiformis	11111100
Scleria_polycarpa	00000100
Scleria_polyrrhiza	00100000
Scleria_pooides	10100000
Scleria_pseudohispidior	00100000
Scleria_pulchella	00100000
Scleria_purdiei	00000001
Scleria_purpurascens	00011100
Scleria_pusilla	00000001
Scleria_racemosa	11100000
Scleria_rehmannii	01100000
Scleria_reticularis	00000010
Scleria_richardsiae	00100000
Scleria_robinsoniana	00100000
Scleria_rosea	10000000
Scleria_rugosa	00011100
Scleria_rutenbergiana	10000000
Scleria_scabra	00000001
Scleria_schiedeana	00000001
Scleria_schimperiana	00100000
Scleria_schliebenii	00100000
Scleria_scrobiculata	00011100
Scleria_secans	00000001
Scleria_skutchii	00000001
Scleria_sobolifer	01000000
Scleria_sororia	00000001
Scleria_sphacelata	00000100
Scleria_spicata	00000001
Scleria_spiciformis	00100000
Scleria_splitgerberiana	00000001
Scleria_sprucei	00000001
Scleria_staheliana	00000001
Scleria_suaveolens	00100000
Scleria_sumatrensis	10011100
Scleria_tenella	00000001
Scleria_tepuiensis	00000001
Scleria_terrestris	00011100
Scleria_tessellata	10101100
Scleria_testacea	00000011
Scleria_tonkinensis	00010100
Scleria_transvaalensis	01000000
Scleria_tricholepis	00100000
Scleria_tricristata	00100000
Scleria_triglomerata	00000010
Scleria_unguiculata	01100000
Scleria_verrucosa	00100000
Scleria_verticillata	00000011
Scleria_veseyfitzgeraldii	01100000
Scleria_virgata	00000001
Scleria_vogelii	00100000
Scleria_welwitschii	01100000
Scleria_williamsii	00000001
Scleria_woodii	01100000
Scleria_zambesica	00100000
Tetraria_capillaris	00000100
Tetraria_crinifolia	01000000
Tetraria_flexuosa	01000000
Tetraria_involucrata	01000000
Tetraria_microstachys	01000000
Tetraria_nigrovaginata	01000000
Tetraria_ustulata	01000000
Trachystylis_stradbrokensis	00000100
Trianoptiles_capensis	01000000
Trichophorum_alpinum	00010010
Trichophorum_cespitosum	00010010
Trichophorum_clintonii	00000010
Trichophorum_dioicum	00010000
Trichophorum_pumilum	00011010
Trichophorum_rigidum	00000001
Trichophorum_subcapitatum	00011100
Trichophorum_uniflorum	00010000
Tricostularia_pauciflora	00000100
Trilepis_lhotzkiana	00000001
Xyroschoenus_hornei	10000000
Zameioscirpus_atacamensis	00000001
Zameioscirpus_muticus	00000001
