Species,Area
Oreobolopsis_tepalifera,B
Oreobolus_acutifolius,B
Oreobolus_goeppingeri,B
Oreobolus_kuekenthalii,B
Oreobolus_obtusangulus,B
Oreobolus_pectinatus,B
Oreobolus_pumilio,B
Paramapania_parvibractea,B
Phylloscirpus_acaulis,B
Phylloscirpus_deserticola,B
Pleurostachys_stricta,B
Ptilothrix_deusta,B
Rhynchospora_alba,B
Rhynchospora_albiceps,B
Rhynchospora_aristata,B
Rhynchospora_brownii,AB
Rhynchospora_caduca,B
Rhynchospora_capillacea,B
Rhynchospora_capitellata,B
Rhynchospora_cephalantha,B
Rhynchospora_chalarocephala,B
Rhynchospora_chapmanii,B
Rhynchospora_chinensis,AB
Rhynchospora_ciliaris,B
Rhynchospora_colorata,B
Rhynchospora_corniculata,B
Rhynchospora_corymbosa,AB
Rhynchospora_crinipes,B
Rhynchospora_decurrens,B
Rhynchospora_divergens,B
Rhynchospora_elliottii,B
Rhynchospora_fascicularis,B
Rhynchospora_filifolia,B
Rhynchospora_floridensis,B
Rhynchospora_fusca,B
Rhynchospora_globosa,B
Rhynchospora_globularis,B
Rhynchospora_glomerata,B
Rhynchospora_gracilenta,B
Rhynchospora_gracillima,AB
Rhynchospora_grayi,B
Rhynchospora_holoschoenoides,AB
Rhynchospora_inexpansa,B
Rhynchospora_inundata,B
Rhynchospora_latifolia,B
Rhynchospora_macra,B
Rhynchospora_marisculus,B
Rhynchospora_megalocarpa,B
Rhynchospora_megaplumosa,B
Rhynchospora_microcarpa,B
Rhynchospora_miliacea,B
Rhynchospora_mixta,B
Rhynchospora_nervosa,B
Rhynchospora_nitens,B
Rhynchospora_plumosa,B
Rhynchospora_polyphylla,B
Rhynchospora_pusilla,B
Rhynchospora_rariflora,B
Rhynchospora_robusta,B
Rhynchospora_rubra,AB
Rhynchospora_rugosa,AB
Rhynchospora_scirpoides,B
Rhynchospora_tracyi,B
Schoenoplectiella_articulata,AB
Schoenoplectiella_erecta,AB
Schoenoplectiella_hallii,B
Schoenoplectiella_hotarui,B
Schoenoplectiella_juncea,B
Schoenoplectiella_juncoides,AB
Schoenoplectiella_lineolata,B
Schoenoplectiella_mucronata,AB
Schoenoplectiella_purshiana,B
Schoenoplectiella_saximontana,B
Schoenoplectiella_senegalensis,B
Schoenoplectiella_smithii,B
Schoenoplectiella_supina,B
Schoenoplectiella_wallichii,B
Schoenoplectus_acutus,B
Schoenoplectus_americanus,B
Schoenoplectus_californicus,B
Schoenoplectus_corymbosus,AB
Schoenoplectus_deltarum,B
Schoenoplectus_etuberculatus,B
Schoenoplectus_heterochaetus,B
Schoenoplectus_lacustris,B
Schoenoplectus_litoralis,AB
Schoenoplectus_pungens,B
Schoenoplectus_subterminalis,B
Schoenoplectus_tabernaemontani,B
Schoenoplectus_torreyi,B
Schoenoplectus_triqueter,B
Schoenus_apogon,B
Schoenus_bolusii,B
Schoenus_brevifolius,B
Schoenus_compactus,B
Schoenus_compar,B
Schoenus_crassus,B
Schoenus_curvifolius,B
Schoenus_cuspidatus,B
Schoenus_efoliatus,B
Schoenus_exilis,B
Schoenus_laticulmis,B
Schoenus_neovillosus,B
Schoenus_nigricans,B
Schoenus_pennisetis,B
Schoenus_pictus,B
Schoenus_quadrangularis,B
Schoenus_variabilis,B
Scirpodendron_bogneri,B
Scirpodendron_ghaeri,B
Scirpoides_burkei,B
Scirpoides_holoschoenus,B
Scirpus_atrovirens,B
Scirpus_cyperinus,B
Scirpus_divaricatus,B
Scirpus_lineatus,B
Scirpus_pendulus,B
Scleria_abortiva,A
Scleria_angusta,AB
Scleria_angustifolia,B
Scleria_ankaratrensis,A
Scleria_arguta,A
Scleria_balansae,B
Scleria_baldwinii,B
Scleria_bambariensis,B
Scleria_baroniclarkei,B
Scleria_baronii,A
Scleria_bequaertii,B
Scleria_biflora,B
Scleria_boivinii,AB
Scleria_bourgeaui,B
Scleria_bracteata,B
Scleria_brownii,B
Scleria_bulbifera,AB
Scleria_burchellii,B
Scleria_calcicola,B
Scleria_carphiformisb,B
Scleria_castanea,B
Scleria_catophylla,B
Scleria_ciliaris,B
Scleria_ciliata,B
Scleria_comosa,B
Scleria_comosab,B
Scleria_composita,B
Scleria_corymbosa,B
Scleria_cuyabensis,B
Scleria_cyperina,B
Scleria_delicatula,B
Scleria_depauperata,B
Scleria_depressa,B
Scleria_distans,B
Scleria_distans_var_chondrocarpa,AB
Scleria_dregeana,B
Scleria_eggersiana,B
Scleria_erythrorrhiza,B
Scleria_flagellumnigrorum,B
Scleria_flexuosa,B
Scleria_foliosa,AB
Scleria_fulvipilosa,B
Scleria_gaertneri,AB
Scleria_georgiana,B
Scleria_glabra,B
Scleria_globonux,B
Scleria_goossensii,B
Scleria_greigiifolia,AB
Scleria_hildebrandtii,AB
Scleria_hilsenbergii,A
Scleria_hirtella,B
Scleria_hispidior,B
Scleria_hispidula,B
Scleria_interrupta,B
Scleria_iostephana,B
Scleria_kerrii,B
Scleria_lacustris,AB
Scleria_lagoensis,AB
Scleria_latifolia,B
Scleria_laxa,B
Scleria_laxiflora,B
Scleria_leptostachya,B
Scleria_liberica,B
Scleria_lithosperma,AB
Scleria_longispiculata,B
Scleria_mackaviensis,B
Scleria_macrogyne,B
Scleria_macrophylla,B
Scleria_madagascariensis,A
Scleria_maypurensis,B
Scleria_melanomphala,AB
Scleria_melanotricha,B
Scleria_microcarpa,B
Scleria_mitis,B
Scleria_mongomoensis,B
Scleria_muehlenbergii,B
Scleria_naumanniana,B
Scleria_neesii,B
Scleria_nyasensis,B
Scleria_oblata,B
Scleria_obtusa,B
Scleria_oligantha,B
Scleria_panicoides,B
Scleria_pantadenia,B
Scleria_parvula,B
Scleria_paupercula,B
Scleria_pedicellata,B
Scleria_pergracilis,B
Scleria_pergracilis_var_brachystachys,B
Scleria_perpusilla,A
Scleria_plusiophylla,B
Scleria_poiformis,AB
Scleria_polycarpa,B
Scleria_polyrrhiza,B
Scleria_pooides,AB
Scleria_pseudohispidior,B
Scleria_pulchella,B
Scleria_purdiei,B
Scleria_purpurascens,B
Scleria_pusilla,B
Scleria_racemosa,AB
Scleria_rehmannii,B
Scleria_reticularis,B
Scleria_richardsiae,B
Scleria_robinsoniana,B
Scleria_rosea,A
Scleria_rugosa,B
Scleria_rutenbergiana,A
Scleria_scabra,B
Scleria_schiedeana,B
Scleria_schimperiana,B
Scleria_schliebenii,B
Scleria_scrobiculata,B
Scleria_secans,B
Scleria_skutchii,B
Scleria_sobolifer,B
Scleria_sororia,B
Scleria_sphacelata,B
Scleria_spicata,B
Scleria_spiciformis,B
Scleria_splitgerberiana,B
Scleria_sprucei,B
Scleria_staheliana,B
Scleria_suaveolens,B
Scleria_sumatrensis,AB
Scleria_tenella,B
Scleria_tepuiensis,B
Scleria_terrestris,B
Scleria_tessellata,AB
Scleria_testacea,B
Scleria_tonkinensis,B
Scleria_transvaalensis,B
Scleria_tricholepis,B
Scleria_tricristata,B
Scleria_triglomerata,B
Scleria_unguiculata,B
Scleria_verrucosa,B
Scleria_verticillata,B
Scleria_veseyfitzgeraldii,B
Scleria_virgata,B
Scleria_vogelii,B
Scleria_welwitschii,B
Scleria_williamsii,B
Scleria_woodii,B
Scleria_zambesica,B
Tetraria_capillaris,B
Tetraria_crinifolia,B
Tetraria_flexuosa,B
Tetraria_involucrata,B
Tetraria_microstachys,B
Tetraria_nigrovaginata,B
Tetraria_ustulata,B
Trachystylis_stradbrokensis,B
Trianoptiles_capensis,B
Trichophorum_alpinum,B
Trichophorum_cespitosum,B
Trichophorum_clintonii,B
Trichophorum_dioicum,B
Trichophorum_pumilum,B
Trichophorum_rigidum,B
Trichophorum_subcapitatum,B
Trichophorum_uniflorum,B
Tricostularia_pauciflora,B
Trilepis_lhotzkiana,B
Xyroschoenus_hornei,A
Zameioscirpus_atacamensis,B
Zameioscirpus_muticus,B

